Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/work,868875,0,62,86.14154207636616,3.1393369999932474,645.8080169999789,108.39284477053661,603.1712166048253,0.0,62,100,130,150,200,230,270,310,400,490,650
,Aggregated,868875,0,62,86.14154207636616,3.1393369999932474,645.8080169999789,108.39284477053661,603.1712166048253,0.0,62,100,130,150,200,230,270,310,400,490,650
