Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/work,1313121,0,42,56.774641952888324,2.342172999988179,440.7388429999628,108.49337113639946,911.6081565481279,0.0,42,67,85,97,130,160,190,220,290,360,440
,Aggregated,1313121,0,42,56.774641952888324,2.342172999988179,440.7388429999628,108.49337113639946,911.6081565481279,0.0,42,67,85,97,130,160,190,220,290,360,440
